DATE,FF
2016-04-20,0.37
2016-04-27,0.37
2016-05-04,0.34
2016-05-11,0.37
2016-05-18,0.37
2016-05-25,0.37
2016-06-01,0.36
2016-06-08,0.37
2016-06-15,0.37
2016-06-22,0.38
2016-06-29,0.40
2016-07-06,0.39
2016-07-13,0.40
2016-07-20,0.40
2016-07-27,0.40
2016-08-03,0.36
2016-08-10,0.40
2016-08-17,0.40
2016-08-24,0.40
2016-08-31,0.39
2016-09-07,0.40
2016-09-14,0.40
2016-09-21,0.40
2016-09-28,0.40
2016-10-05,0.35
2016-10-12,0.40
2016-10-19,0.41
2016-10-26,0.41
2016-11-02,0.40
2016-11-09,0.41
2016-11-16,0.41
2016-11-23,0.41
2016-11-30,0.40
2016-12-07,0.41
2016-12-14,0.41
2016-12-21,0.66
2016-12-28,0.66
2017-01-04,0.60
2017-01-11,0.66
2017-01-18,0.66
2017-01-25,0.66
2017-02-01,0.65
2017-02-08,0.66
2017-02-15,0.66
2017-02-22,0.66
2017-03-01,0.65
2017-03-08,0.66
2017-03-15,0.66
2017-03-22,0.91
2017-03-29,0.91
2017-04-05,0.87
2017-04-12,0.91
2017-04-19,0.91
2017-04-26,0.91
2017-05-03,0.88
2017-05-10,0.91
2017-05-17,0.91
2017-05-24,0.91
2017-05-31,0.90
2017-06-07,0.91
2017-06-14,0.91
2017-06-21,1.16
2017-06-28,1.16
2017-07-05,1.12
2017-07-12,1.16
2017-07-19,1.16
2017-07-26,1.16
2017-08-02,1.15
2017-08-09,1.16
2017-08-16,1.16
2017-08-23,1.16
2017-08-30,1.16
2017-09-06,1.15
2017-09-13,1.16
2017-09-20,1.16
2017-09-27,1.16
2017-10-04,1.12
2017-10-11,1.16
2017-10-18,1.16
2017-10-25,1.16
2017-11-01,1.15
2017-11-08,1.16
2017-11-15,1.16
2017-11-22,1.16
2017-11-29,1.16
2017-12-06,1.15
2017-12-13,1.16
2017-12-20,1.41
2017-12-27,1.42
2018-01-03,1.37
2018-01-10,1.42
2018-01-17,1.42
2018-01-24,1.42
2018-01-31,1.41
2018-02-07,1.42
2018-02-14,1.42
2018-02-21,1.42
2018-02-28,1.41
2018-03-07,1.42
2018-03-14,1.42
2018-03-21,1.43
2018-03-28,1.68
2018-04-04,1.68
2018-04-11,1.69
2018-04-18,1.69
2018-04-25,1.70
2018-05-02,1.70
2018-05-09,1.70
2018-05-16,1.70
2018-05-23,1.70
2018-05-30,1.70
2018-06-06,1.70
2018-06-13,1.70
2018-06-20,1.90
2018-06-27,1.92
2018-07-04,1.91
2018-07-11,1.91
2018-07-18,1.91
2018-07-25,1.91
2018-08-01,1.91
2018-08-08,1.91
2018-08-15,1.91
2018-08-22,1.92
2018-08-29,1.92
2018-09-05,1.91
2018-09-12,1.92
2018-09-19,1.92
2018-09-26,1.92
2018-10-03,2.18
2018-10-10,2.18
2018-10-17,2.18
2018-10-24,2.19
2018-10-31,2.20
2018-11-07,2.20
2018-11-14,2.19
2018-11-21,2.20
2018-11-28,2.20
2018-12-05,2.20
2018-12-12,2.19
2018-12-19,2.19
2018-12-26,2.40
2019-01-02,2.40
2019-01-09,2.40
2019-01-16,2.40
2019-01-23,2.40
2019-01-30,2.40
2019-02-06,2.40
2019-02-13,2.40
2019-02-20,2.40
2019-02-27,2.40
2019-03-06,2.40
2019-03-13,2.40
2019-03-20,2.40
2019-03-27,2.41
2019-04-03,2.42
2019-04-10,2.41
2019-04-17,2.41
2019-04-24,2.44
2019-05-01,2.44
2019-05-08,2.40
2019-05-15,2.38
2019-05-22,2.39
2019-05-29,2.38
2019-06-05,2.39
2019-06-12,2.37
2019-06-19,2.37
2019-06-26,2.38
2019-07-03,2.40
2019-07-10,2.41
2019-07-17,2.39
2019-07-24,2.41
2019-07-31,2.40
2019-08-07,2.13
2019-08-14,2.12
2019-08-21,2.13
2019-08-28,2.12
2019-09-04,2.13
2019-09-11,2.13
2019-09-18,2.19
2019-09-25,1.90
2019-10-02,1.85
2019-10-09,1.82
2019-10-16,1.84
2019-10-23,1.85
2019-10-30,1.83
2019-11-06,1.57
2019-11-13,1.55
2019-11-20,1.55
2019-11-27,1.55
2019-12-04,1.56
2019-12-11,1.55
2019-12-18,1.55
2019-12-25,1.55
2020-01-01,1.55
2020-01-08,1.55
2020-01-15,1.54
2020-01-22,1.55
2020-01-29,1.55
2020-02-05,1.59
2020-02-12,1.58
2020-02-19,1.58
2020-02-26,1.58
2020-03-04,1.51
2020-03-11,1.09
2020-03-18,0.74
2020-03-25,0.15
2020-04-01,0.09
2020-04-08,0.05
2020-04-15,0.05
2020-04-22,0.05
2020-04-29,0.04
2020-05-06,0.05
2020-05-13,0.05
2020-05-20,0.05
2020-05-27,0.05
2020-06-03,0.05
2020-06-10,0.07
2020-06-17,0.08
2020-06-24,0.09
2020-07-01,0.08
2020-07-08,0.09
2020-07-15,0.09
2020-07-22,0.09
2020-07-29,0.09
2020-08-05,0.10
2020-08-12,0.10
2020-08-19,0.10
2020-08-26,0.09
2020-09-02,0.09
2020-09-09,0.09
2020-09-16,0.09
2020-09-23,0.09
2020-09-30,0.09
2020-10-07,0.09
2020-10-14,0.09
2020-10-21,0.09
2020-10-28,0.09
2020-11-04,0.09
2020-11-11,0.09
2020-11-18,0.09
2020-11-25,0.08
2020-12-02,0.08
2020-12-09,0.09
2020-12-16,0.09
2020-12-23,0.09
2020-12-30,0.09
2021-01-06,0.09
2021-01-13,0.09
2021-01-20,0.09
2021-01-27,0.08
2021-02-03,0.07
2021-02-10,0.08
2021-02-17,0.08
2021-02-24,0.07
2021-03-03,0.07
2021-03-10,0.07
