DATE,GASDSLSW
2011-04-18,4.105
2011-04-25,4.098
2011-05-02,4.124
2011-05-09,4.104
2011-05-16,4.061
2011-05-23,3.997
2011-05-30,3.948
2011-06-06,3.940
2011-06-13,3.954
2011-06-20,3.950
2011-06-27,3.888
2011-07-04,3.850
2011-07-11,3.899
2011-07-18,3.923
2011-07-25,3.949
2011-08-01,3.937
2011-08-08,3.897
2011-08-15,3.835
2011-08-22,3.810
2011-08-29,3.820
2011-09-05,3.868
2011-09-12,3.862
2011-09-19,3.833
2011-09-26,3.786
2011-10-03,3.749
2011-10-10,3.721
2011-10-17,3.801
2011-10-24,3.825
2011-10-31,3.892
2011-11-07,3.887
2011-11-14,3.987
2011-11-21,4.010
2011-11-28,3.964
2011-12-05,3.931
2011-12-12,3.894
2011-12-19,3.828
2011-12-26,3.791
2012-01-02,3.783
2012-01-09,3.828
2012-01-16,3.854
2012-01-23,3.848
2012-01-30,3.850
2012-02-06,3.856
2012-02-13,3.943
2012-02-20,3.960
2012-02-27,4.051
2012-03-05,4.094
2012-03-12,4.123
2012-03-19,4.142
2012-03-26,4.147
2012-04-02,4.142
2012-04-09,4.148
2012-04-16,4.127
2012-04-23,4.085
2012-04-30,4.073
2012-05-07,4.057
2012-05-14,4.004
2012-05-21,3.956
2012-05-28,3.897
2012-06-04,3.846
2012-06-11,3.781
2012-06-18,3.729
2012-06-25,3.678
2012-07-02,3.648
2012-07-09,3.683
2012-07-16,3.695
2012-07-23,3.783
2012-07-30,3.796
2012-08-06,3.850
2012-08-13,3.965
2012-08-20,4.026
2012-08-27,4.089
2012-09-03,4.127
2012-09-10,4.132
2012-09-17,4.135
2012-09-24,4.086
2012-10-01,4.079
2012-10-08,4.094
2012-10-15,4.150
2012-10-22,4.116
2012-10-29,4.030
2012-11-05,4.010
2012-11-12,3.980
2012-11-19,3.976
2012-11-26,4.034
2012-12-03,4.027
2012-12-10,3.991
2012-12-17,3.945
2012-12-24,3.923
2012-12-31,3.918
2013-01-07,3.911
2013-01-14,3.894
2013-01-21,3.902
2013-01-28,3.927
2013-02-04,4.022
2013-02-11,4.104
2013-02-18,4.157
2013-02-25,4.159
2013-03-04,4.130
2013-03-11,4.088
2013-03-18,4.047
2013-03-25,4.006
2013-04-01,3.993
2013-04-08,3.977
2013-04-15,3.942
2013-04-22,3.887
2013-04-29,3.851
2013-05-06,3.845
2013-05-13,3.866
2013-05-20,3.890
2013-05-27,3.880
2013-06-03,3.869
2013-06-10,3.849
2013-06-17,3.841
2013-06-24,3.838
