DATE,TOTLL
2015-04-29,7849.9213
2015-05-06,7852.6974
2015-05-13,7864.7636
2015-05-20,7884.8703
2015-05-27,7895.3058
2015-06-03,7897.9335
2015-06-10,7914.534
2015-06-17,7923.4868
2015-06-24,7937.3293
2015-07-01,7955.5442
2015-07-08,7950.1798
2015-07-15,7964.1473
2015-07-22,7972.868
2015-07-29,7974.4452
2015-08-05,7983.1771
2015-08-12,8003.7687
2015-08-19,8020.734
2015-08-26,8037.2182
2015-09-02,8046.8082
2015-09-09,8051.0026
2015-09-16,8062.8349
2015-09-23,8068.8061
2015-09-30,8093.0953
2015-10-07,8099.1824
2015-10-14,8116.72
2015-10-21,8119.8115
2015-10-28,8122.8419
2015-11-04,8145.0373
2015-11-11,8169.3818
2015-11-18,8178.1704
2015-11-25,8189.5177
2015-12-02,8206.2996
2015-12-09,8218.0576
2015-12-16,8232.8089
2015-12-23,8240.191
2015-12-30,8245.986
2016-01-06,8262.1685
2016-01-13,8266.5076
2016-01-20,8285.5328
2016-01-27,8301.1302
2016-02-03,8325.0735
2016-02-10,8329.5779
2016-02-17,8338.7941
2016-02-24,8345.9294
2016-03-02,8397.0498
2016-03-09,8419.9702
2016-03-16,8416.5736
2016-03-23,8418.2613
2016-03-30,8424.3954
2016-04-06,8441.7807
2016-04-13,8454.4326
2016-04-20,8472.333
2016-04-27,8482.2122
2016-05-04,8501.5047
2016-05-11,8514.5755
2016-05-18,8511.9686
2016-05-25,8534.0166
2016-06-01,8544.476
2016-06-08,8550.4312
2016-06-15,8554.1545
2016-06-22,8568.4791
2016-06-29,8602.2865
2016-07-06,8610.881
2016-07-13,8620.9928
2016-07-20,8611.4072
2016-07-27,8619.1944
2016-08-03,8621.5317
2016-08-10,8632.012
2016-08-17,8630.6429
2016-08-24,8646.5029
2016-08-31,8666.9221
2016-09-07,8674.248
2016-09-14,8684.4609
2016-09-21,8692.8664
2016-09-28,8702.9546
2016-10-05,8724.9381
2016-10-12,8733.6825
2016-10-19,8741.5314
2016-10-26,8745.0661
2016-11-02,8753.5388
2016-11-09,8758.9202
2016-11-16,8765.8252
2016-11-23,8763.5768
2016-11-30,8779.5529
2016-12-07,8777.0753
2016-12-14,8765.9062
2016-12-21,8763.685
2016-12-28,8755.1208
2017-01-04,8772.5633
2017-01-11,8786.2611
2017-01-18,8787.7473
2017-01-25,8784.9208
2017-02-01,8799.0392
2017-02-08,8796.4205
2017-02-15,8804.143
2017-02-22,8806.9399
2017-03-01,8818.5766
2017-03-08,8813.3811
2017-03-15,8821.7564
2017-03-22,8799.7536
2017-03-29,8791.6418
2017-04-05,8812.7089
2017-04-12,8824.6025
2017-04-19,8838.1019
2017-04-26,8844.0895
2017-05-03,8854.3587
2017-05-10,8857.7753
2017-05-17,8862.2051
2017-05-24,8876.5478
2017-05-31,8873.7556
2017-06-07,8870.8335
2017-06-14,8872.1339
2017-06-21,8889.8857
2017-06-28,8889.8202
2017-07-05,8906.0128
2017-07-12,8916.4672
2017-07-19,8928.7588
2017-07-26,8937.4046
2017-08-02,8944.2878
2017-08-09,8951.0217
2017-08-16,8951.4052
2017-08-23,8962.317
2017-08-30,8966.5442
2017-09-06,8979.1467
2017-09-13,8977.2729
2017-09-20,9016.1467
2017-09-27,9015.1657
2017-10-04,9030.0313
2017-10-11,9045.204
2017-10-18,9058.7749
2017-10-25,9061.9359
