DATE,M2
2017-11-06,13795.4
2017-11-13,13801.4
2017-11-20,13799.4
2017-11-27,13828.4
2017-12-04,13820.2
2017-12-11,13855.8
2017-12-18,13866.3
2017-12-25,13843.9
2018-01-01,13846.7
2018-01-08,13856.0
2018-01-15,13863.1
2018-01-22,13876.9
2018-01-29,13881.9
2018-02-05,13893.6
2018-02-12,13887.2
2018-02-19,13897.0
2018-02-26,13926.4
2018-03-05,13947.7
2018-03-12,13950.9
2018-03-19,13954.5
2018-03-26,13982.4
2018-04-02,13991.0
2018-04-09,13984.2
2018-04-16,13990.4
2018-04-23,14016.6
2018-04-30,14017.8
2018-05-07,14029.2
2018-05-14,14051.8
2018-05-21,14073.7
2018-05-28,14097.4
2018-06-04,14108.4
2018-06-11,14120.3
2018-06-18,14137.5
2018-06-25,14146.5
2018-07-02,14157.4
2018-07-09,14152.8
2018-07-16,14172.8
2018-07-23,14175.6
2018-07-30,14173.7
2018-08-06,14171.6
2018-08-13,14198.3
2018-08-20,14213.0
2018-08-27,14241.8
2018-09-03,14242.0
2018-09-10,14222.2
2018-09-17,14241.1
2018-09-24,14249.7
2018-10-01,14260.9
2018-10-08,14231.3
2018-10-15,14246.3
2018-10-22,14260.2
2018-10-29,14262.2
2018-11-05,14238.1
2018-11-12,14234.6
2018-11-19,14256.6
2018-11-26,14270.7
2018-12-03,14315.3
2018-12-10,14334.1
2018-12-17,14327.1
2018-12-24,14396.6
2018-12-31,14426.5
2019-01-07,14420.2
2019-01-14,14431.5
2019-01-21,14442.4
2019-01-28,14484.5
2019-02-04,14470.2
2019-02-11,14474.8
2019-02-18,14465.5
2019-02-25,14483.8
2019-03-04,14500.1
2019-03-11,14512.8
2019-03-18,14508.9
2019-03-25,14533.3
2019-04-01,14562.2
2019-04-08,14554.5
2019-04-15,14566.1
2019-04-22,14556.7
2019-04-29,14601.4
2019-05-06,14617.2
2019-05-13,14625.2
2019-05-20,14666.3
2019-05-27,14709.0
2019-06-03,14739.3
2019-06-10,14764.5
2019-06-17,14791.5
2019-06-24,14810.2
2019-07-01,14844.2
2019-07-08,14846.1
2019-07-15,14841.2
2019-07-22,14881.6
2019-07-29,14915.4
2019-08-05,14932.6
2019-08-12,14933.6
2019-08-19,14933.7
2019-08-26,14950.7
2019-09-02,14984.6
2019-09-09,14993.4
2019-09-16,15004.7
2019-09-23,15057.6
2019-09-30,15098.0
2019-10-07,15122.4
2019-10-14,15128.6
2019-10-21,15167.2
2019-10-28,15200.4
2019-11-04,15224.8
2019-11-11,15232.2
2019-11-18,15263.5
2019-11-25,15294.2
2019-12-02,15293.1
2019-12-09,15274.4
2019-12-16,15328.7
2019-12-23,15338.9
2019-12-30,15346.3
2020-01-06,15350.8
2020-01-13,15386.8
2020-01-20,15437.6
2020-01-27,15459.5
2020-02-03,15442.8
2020-02-10,15445.0
2020-02-17,15455.7
2020-02-24,15446.8
2020-03-02,15524.8
2020-03-09,15579.8
2020-03-16,15738.5
2020-03-23,16163.5
2020-03-30,16545.3
2020-04-06,16609.7
2020-04-13,16728.7
2020-04-20,17089.5
2020-04-27,17419.4
2020-05-04,17613.3
2020-05-11,17832.6
2020-05-18,17922.6
2020-05-25,17951.3
2020-06-01,17985.0
2020-06-08,18075.3
2020-06-15,18152.1
2020-06-22,18249.4
2020-06-29,18245.3
2020-07-06,18337.5
2020-07-13,18395.2
2020-07-20,18319.6
2020-07-27,18280.5
2020-08-03,18249.9
2020-08-10,18388.2
2020-08-17,18430.8
2020-08-24,18363.2
2020-08-31,18437.6
2020-09-07,18544.6
2020-09-14,18664.9
2020-09-21,18680.0
2020-09-28,18605.2
2020-10-05,18642.3
2020-10-12,18742.3
2020-10-19,18757.8
2020-10-26,18777.7
2020-11-02,18829.3
2020-11-09,18990.9
2020-11-16,19027.2
2020-11-23,19037.6
2020-11-30,18914.1
2020-12-07,19131.4
2020-12-14,19196.8
2020-12-21,19095.5
2020-12-28,18972.4
2021-01-04,19075.1
2021-01-11,19448.1
2021-01-18,19464.2
2021-01-25,19413.4
2021-02-01,19413.6
