DATE,RELACBW027SBOG
2015-04-29,3721.4817
2015-05-06,3721.3628
2015-05-13,3721.8368
2015-05-20,3732.8903
2015-05-27,3735.8386
2015-06-03,3741.4744
2015-06-10,3743.3121
2015-06-17,3747.6418
2015-06-24,3748.8846
2015-07-01,3756.6852
2015-07-08,3756.0516
2015-07-15,3757.0453
2015-07-22,3765.6644
2015-07-29,3768.8195
2015-08-05,3766.0861
2015-08-12,3776.9167
2015-08-19,3782.5213
2015-08-26,3778.7733
2015-09-02,3784.1918
2015-09-09,3785.7137
2015-09-16,3790.9638
2015-09-23,3798.1607
2015-09-30,3809.5646
2015-10-07,3803.8891
2015-10-14,3805.6644
2015-10-21,3813.7472
2015-10-28,3818.0401
2015-11-04,3836.5442
2015-11-11,3841.8288
2015-11-18,3849.8625
2015-11-25,3851.374
2015-12-02,3855.7225
2015-12-09,3860.613
2015-12-16,3868.5326
2015-12-23,3878.4096
2015-12-30,3882.0491
2016-01-06,3882.3963
2016-01-13,3881.8985
2016-01-20,3891.8427
2016-01-27,3900.021
2016-02-03,3903.4936
2016-02-10,3909.2395
2016-02-17,3917.1795
2016-02-24,3921.4159
2016-03-02,3931.7173
2016-03-09,3936.9692
2016-03-16,3941.4279
2016-03-23,3945.9341
2016-03-30,3950.8772
2016-04-06,3950.0742
2016-04-13,3952.5537
2016-04-20,3960.9646
2016-04-27,3967.7054
2016-05-04,3973.2727
2016-05-11,3982.4538
2016-05-18,3985.7145
2016-05-25,3991.7921
2016-06-01,3994.4852
2016-06-08,3996.6182
2016-06-15,4002.8202
2016-06-22,4008.3712
2016-06-29,4019.2817
2016-07-06,4021.4115
2016-07-13,4032.8735
2016-07-20,4028.3014
2016-07-27,4034.825
2016-08-03,4039.7953
2016-08-10,4046.2651
2016-08-17,4051.453
2016-08-24,4058.7405
2016-08-31,4070.0803
2016-09-07,4068.7801
2016-09-14,4070.1824
2016-09-21,4076.0992
2016-09-28,4082.0797
2016-10-05,4089.369
2016-10-12,4098.9611
2016-10-19,4096.9822
2016-10-26,4099.2632
2016-11-02,4106.2195
2016-11-09,4109.5339
2016-11-16,4109.4748
2016-11-23,4109.2134
2016-11-30,4111.7364
2016-12-07,4112.8439
2016-12-14,4109.7408
2016-12-21,4115.4686
2016-12-28,4121.2457
2017-01-04,4125.7695
2017-01-11,4135.3369
2017-01-18,4132.5939
2017-01-25,4134.4192
2017-02-01,4139.0463
2017-02-08,4141.13
2017-02-15,4143.5125
2017-02-22,4144.011
2017-03-01,4144.401
2017-03-08,4147.108
2017-03-15,4149.8482
2017-03-22,4151.9537
2017-03-29,4154.2624
2017-04-05,4157.2271
2017-04-12,4158.2271
2017-04-19,4171.1143
2017-04-26,4172.3013
2017-05-03,4174.5733
2017-05-10,4179.3671
2017-05-17,4181.2685
2017-05-24,4187.3103
2017-05-31,4187.4323
2017-06-07,4188.4602
2017-06-14,4187.1557
2017-06-21,4194.6798
2017-06-28,4202.7687
2017-07-05,4202.8865
2017-07-12,4210.3569
2017-07-19,4215.6359
2017-07-26,4217.1016
2017-08-02,4217.577
2017-08-09,4222.6169
2017-08-16,4221.5053
2017-08-23,4227.3466
2017-08-30,4229.7994
2017-09-06,4230.1417
2017-09-13,4218.8671
2017-09-20,4237.7992
2017-09-27,4235.5904
2017-10-04,4244.4582
2017-10-11,4252.2737
2017-10-18,4256.8657
2017-10-25,4260.123
2017-11-01,4261.5459
2017-11-08,4264.6324
2017-11-15,4268.2178
2017-11-22,4275.8896
2017-11-29,4280.6748
2017-12-06,4282.7445
2017-12-13,4278.9979
2017-12-20,4288.2258
2017-12-27,4291.9089
2018-01-03,4290.8811
2018-01-10,4296.8742
2018-01-17,4302.6326
2018-01-24,4308.8253
2018-01-31,4309.4291
2018-02-07,4313.3421
2018-02-14,4314.2073
2018-02-21,4317.1726
2018-02-28,4321.9954
2018-03-07,4320.744
2018-03-14,4319.8968
2018-03-21,4326.8466
2018-03-28,4331.3659
2018-04-04,4329.7313
2018-04-11,4337.42
2018-04-18,4337.4265
2018-04-25,4338.8041
2018-05-02,4341.2942
2018-05-09,4343.1767
2018-05-16,4328.6232
2018-05-23,4331.3016
2018-05-30,4336.2113
2018-06-06,4339.1543
2018-06-13,4340.4232
2018-06-20,4352.5567
2018-06-27,4361.046
2018-07-04,4355.4086
2018-07-11,4355.7767
2018-07-18,4361.453
2018-07-25,4368.4795
2018-08-01,4365.1366
2018-08-08,4363.0691
2018-08-15,4362.6155
2018-08-22,4372.7952
2018-08-29,4379.2593
2018-09-05,4382.0263
2018-09-12,4390.8388
2018-09-19,4395.2916
2018-09-26,4394.0932
2018-10-03,4398.6354
2018-10-10,4400.2627
2018-10-17,4405.0865
2018-10-24,4407.4062
2018-10-31,4409.0503
2018-11-07,4405.4749
2018-11-14,4407.7198
2018-11-21,4409.3766
2018-11-28,4409.0026
2018-12-05,4405.8212
2018-12-12,4416.7069
2018-12-19,4419.481
2018-12-26,4414.9791
2019-01-02,4425.216
2019-01-09,4425.784
2019-01-16,4431.9152
2019-01-23,4436.4895
2019-01-30,4433.8151
2019-02-06,4435.1472
2019-02-13,4437.9764
2019-02-20,4449.4617
2019-02-27,4450.0431
2019-03-06,4449.1977
2019-03-13,4449.8092
2019-03-20,4460.5494
2019-03-27,4452.3533
2019-04-03,4458.8191
2019-04-10,4453.5728
2019-04-17,4464.8702
2019-04-24,4471.1587
2019-05-01,4480.3709
2019-05-08,4480.1274
2019-05-15,4483.6591
2019-05-22,4490.7932
2019-05-29,4491.0146
2019-06-05,4492.5686
2019-06-12,4499.2808
2019-06-19,4504.3706
2019-06-26,4499.5645
2019-07-03,4501.8373
2019-07-10,4500.7538
2019-07-17,4506.7035
2019-07-24,4513.8608
2019-07-31,4519.5636
2019-08-07,4517.367
2019-08-14,4516.2818
2019-08-21,4529.2402
2019-08-28,4519.5242
2019-09-04,4525.9515
2019-09-11,4534.0267
2019-09-18,4538.6506
2019-09-25,4547.7068
2019-10-02,4545.5349
2019-10-09,4550.1362
2019-10-16,4560.854
2019-10-23,4565.3109
2019-10-30,4571.2459
2019-11-06,4573.4374
2019-11-13,4570.5562
2019-11-20,4583.4587
2019-11-27,4600.497
2019-12-04,4599.8333
2019-12-11,4625.7824
2019-12-18,4614.5038
2019-12-25,4618.7331
2020-01-01,4624.8922
2020-01-08,4626.7719
2020-01-15,4626.6655
2020-01-22,4631.6696
2020-01-29,4637.0297
2020-02-05,4640.5754
2020-02-12,4637.9143
2020-02-19,4644.8833
2020-02-26,4646.0604
2020-03-04,4650.2095
2020-03-11,4657.7282
2020-03-18,4660.8479
2020-03-25,4671.4712
2020-04-01,4674.7196
2020-04-08,4683.4462
2020-04-15,4683.1998
2020-04-22,4681.5527
2020-04-29,4679.8647
2020-05-06,4673.4099
2020-05-13,4676.8382
2020-05-20,4677.2086
2020-05-27,4674.4079
2020-06-03,4669.5694
2020-06-10,4667.5085
2020-06-17,4671.5056
2020-06-24,4673.5304
2020-07-01,4680.239
2020-07-08,4689.0057
2020-07-15,4687.5877
2020-07-22,4690.7333
2020-07-29,4686.9315
2020-08-05,4687.8804
2020-08-12,4697.1838
2020-08-19,4686.7371
2020-08-26,4690.2991
2020-09-02,4681.3975
2020-09-09,4681.2092
2020-09-16,4686.4482
2020-09-23,4686.8973
2020-09-30,4696.5264
2020-10-07,4694.3029
2020-10-14,4685.7694
2020-10-21,4687.5457
2020-10-28,4680.5394
2020-11-04,4678.0682
2020-11-11,4683.6188
2020-11-18,4674.7946
2020-11-25,4666.7724
2020-12-02,4657.6499
2020-12-09,4656.3556
2020-12-16,4661.332
2020-12-23,4666.9141
2020-12-30,4666.0129
2021-01-06,4680.2644
2021-01-13,4691.963
2021-01-20,4680.4836
2021-01-27,4675.8818
2021-02-03,4663.1149
2021-02-10,4672.4824
2021-02-17,4656.4016
2021-02-24,4653.1064
2021-03-03,4651.9648
