DATE,MORTGAGE30US
2011-03-17,4.76
2011-03-24,4.81
2011-03-31,4.86
2011-04-07,4.87
2011-04-14,4.91
2011-04-21,4.80
2011-04-28,4.78
2011-05-05,4.71
2011-05-12,4.63
2011-05-19,4.61
2011-05-26,4.60
2011-06-02,4.55
2011-06-09,4.49
2011-06-16,4.50
2011-06-23,4.50
2011-06-30,4.51
2011-07-07,4.60
2011-07-14,4.51
2011-07-21,4.52
2011-07-28,4.55
2011-08-04,4.39
2011-08-11,4.32
2011-08-18,4.15
2011-08-25,4.22
2011-09-01,4.22
2011-09-08,4.12
2011-09-15,4.09
2011-09-22,4.09
2011-09-29,4.01
2011-10-06,3.94
2011-10-13,4.12
2011-10-20,4.11
2011-10-27,4.10
2011-11-03,4.00
2011-11-10,3.99
2011-11-17,4.00
2011-11-23,3.98
2011-12-01,4.00
2011-12-08,3.99
2011-12-15,3.94
2011-12-22,3.91
2011-12-29,3.95
2012-01-05,3.91
2012-01-12,3.89
2012-01-19,3.88
2012-01-26,3.98
2012-02-02,3.87
2012-02-09,3.87
2012-02-16,3.87
2012-02-23,3.95
2012-03-01,3.90
2012-03-08,3.88
2012-03-15,3.92
2012-03-22,4.08
2012-03-29,3.99
2012-04-05,3.98
2012-04-12,3.88
2012-04-19,3.90
2012-04-26,3.88
2012-05-03,3.84
2012-05-10,3.83
2012-05-17,3.79
2012-05-24,3.78
2012-05-31,3.75
2012-06-07,3.67
2012-06-14,3.71
2012-06-21,3.66
2012-06-28,3.66
2012-07-05,3.62
2012-07-12,3.56
2012-07-19,3.53
2012-07-26,3.49
2012-08-02,3.55
2012-08-09,3.59
2012-08-16,3.62
2012-08-23,3.66
2012-08-30,3.59
2012-09-06,3.55
2012-09-13,3.55
2012-09-20,3.49
2012-09-27,3.40
2012-10-04,3.36
2012-10-11,3.39
2012-10-18,3.37
2012-10-25,3.41
2012-11-01,3.39
2012-11-08,3.40
2012-11-15,3.34
2012-11-21,3.31
2012-11-29,3.32
2012-12-06,3.34
2012-12-13,3.32
2012-12-20,3.37
2012-12-27,3.35
2013-01-03,3.34
2013-01-10,3.40
2013-01-17,3.38
2013-01-24,3.42
2013-01-31,3.53
2013-02-07,3.53
2013-02-14,3.53
2013-02-21,3.56
2013-02-28,3.51
2013-03-07,3.52
2013-03-14,3.63
2013-03-21,3.54
2013-03-28,3.57
2013-04-04,3.54
2013-04-11,3.43
2013-04-18,3.41
2013-04-25,3.40
2013-05-02,3.35
2013-05-09,3.42
2013-05-16,3.51
2013-05-23,3.59
2013-05-30,3.81
2013-06-06,3.91
2013-06-13,3.98
2013-06-20,3.93
2013-06-27,4.46
2013-07-03,4.29
