DATE,FFINCP
2015-05-13,240.622889214
2015-05-20,230.492378205
2015-05-27,226.811304238
2015-06-03,226.786353394
2015-06-10,234.578229921
2015-06-17,240.466048262
2015-06-24,239.848373787
2015-07-01,228.03970397
2015-07-08,244.042360461
2015-07-15,245.663053047
2015-07-22,249.52089127
2015-07-29,256.580000258
2015-08-05,256.369257155
2015-08-12,258.093886633
2015-08-19,263.85801101
2015-08-26,267.518772011
2015-09-02,264.882135707
2015-09-09,271.0088119
2015-09-16,274.690332115
2015-09-23,282.652896263
2015-09-30,280.31699767
2015-10-07,289.402250041
2015-10-14,282.983083951
2015-10-21,288.305800081
2015-10-28,282.082796735
2015-11-04,280.800045596
2015-11-11,267.693708525
2015-11-18,267.627936216
2015-11-25,265.199702724
2015-12-02,266.093333153
2015-12-09,264.247077708
2015-12-16,256.698909768
2015-12-23,264.641831399
2015-12-30,271.015762262
2016-01-06,273.748451607
2016-01-13,244.437899678
2016-01-20,253.671612511
2016-01-27,260.224140625
2016-02-03,256.80103125
2016-02-10,262.87159375
2016-02-17,259.7414375
2016-02-24,258.1953125
2016-03-02,260.374890625
2016-03-09,257.876890625
2016-03-16,260.50128125
2016-03-23,259.983390625
2016-03-30,267.72059375
2016-04-06,270.1824375
2016-04-13,276.09440625
2016-04-20,290.12284375
2016-04-27,290.92365625
2016-05-04,294.17321875
2016-05-11,289.204336203
2016-05-18,286.671656091
2016-05-25,275.506300317
2016-06-01,276.156962234
2016-06-08,271.099372258
2016-06-15,269.027974615
2016-06-22,266.633019171
2016-06-29,269.093454444
2016-07-06,270.069686955
2016-07-13,275.28963128
2016-07-20,277.668578327
2016-07-27,267.256549189
2016-08-03,271.941729161
2016-08-10,271.092021353
2016-08-17,266.585055686
2016-08-24,260.897322406
2016-08-31,251.816800393
2016-09-07,246.818863568
2016-09-14,241.114794383
2016-09-21,232.208504716
2016-09-28,222.024200747
2016-10-05,211.564560207
2016-10-12,194.86968506
2016-10-19,189.148032252
2016-10-26,184.004782104
2016-11-02,183.78211641
2016-11-09,181.674775623
2016-11-16,175.718678104
2016-11-23,172.539339409
2016-11-30,181.78532917
2016-12-07,181.348074878
2016-12-14,189.908241085
2016-12-21,193.791489619
2016-12-28,198.710130725
2017-01-04,194.805238503
2017-01-11,192.854571029
2017-01-18,200.634083217
2017-01-25,201.847411695
2017-02-01,200.678665795
2017-02-08,200.32949401
2017-02-15,199.96131081
2017-02-22,199.671211243
2017-03-01,200.50115119
2017-03-08,199.379197889
2017-03-15,195.300665541
2017-03-22,203.061053932
2017-03-29,213.947578125
2017-04-05,219.61646875
2017-04-12,217.4959375
2017-04-19,215.175185345
2017-04-26,226.972648376
2017-05-03,230.672823247
2017-05-10,229.388625635
2017-05-17,235.314298524
2017-05-24,239.226161245
2017-05-31,243.720212777
2017-06-07,244.100192716
2017-06-14,236.800573957
2017-06-21,234.222939842
2017-06-28,233.135205928
2017-07-05,235.194843998
2017-07-12,239.156942476
2017-07-19,243.022710398
2017-07-26,243.535960098
2017-08-02,242.626466795
2017-08-09,243.394476694
2017-08-16,242.713350496
2017-08-23,240.613572837
2017-08-30,252.503979076
2017-09-06,245.305778069
2017-09-13,253.656809534
2017-09-20,262.3866875
2017-09-27,278.61334375
2017-10-04,281.19925
2017-10-11,281.67453125
2017-10-18,276.09325
2017-10-25,274.27246875
2017-11-01,264.13290625
2017-11-08,269.76715625
2017-11-15,267.71275
2017-11-22,266.424125
2017-11-29,265.9425625
2017-12-06,274.4558125
2017-12-13,268.821
2017-12-20,272.21859375
2017-12-27,273.23357224
2018-01-03,282.584053154
2018-01-10,280.746869484
2018-01-17,278.983951927
2018-01-24,279.591637462
2018-01-31,300.136103109
2018-02-07,303.58100901
2018-02-14,300.571664253
2018-02-21,292.936923858
2018-02-28,291.983304556
2018-03-07,295.3335
2018-03-14,283.125926907
2018-03-21,276.439287775
2018-03-28,277.637836189
2018-04-04,279.316890904
2018-04-11,278.165687956
2018-04-18,280.471915581
2018-04-25,270.984394486
2018-05-02,274.316544383
2018-05-09,275.889306918
2018-05-16,277.675347006
2018-05-23,282.455825952
2018-05-30,280.875320844
2018-06-06,276.30756448
2018-06-13,274.618315906
2018-06-20,272.810310455
2018-06-27,268.647682995
2018-07-04,256.468944377
2018-07-11,259.870635161
2018-07-18,251.559288579
2018-07-25,248.792870737
2018-08-01,247.063975148
2018-08-08,250.929105765
2018-08-15,250.71546087
2018-08-22,251.97164274
