DATE,CLSACBW027SBOG
2015-04-22,1203.0846
2015-04-29,1205.3296
2015-05-06,1206.2248
2015-05-13,1207.6682
2015-05-20,1207.9094
2015-05-27,1209.2204
2015-06-03,1209.6321
2015-06-10,1211.7188
2015-06-17,1212.2469
2015-06-24,1216.0945
2015-07-01,1217.5518
2015-07-08,1219.1013
2015-07-15,1219.7606
2015-07-22,1221.473
2015-07-29,1223.5593
2015-08-05,1225.1439
2015-08-12,1227.2529
2015-08-19,1228.9117
2015-08-26,1229.1108
2015-09-02,1231.668
2015-09-09,1234.9348
2015-09-16,1235.2804
2015-09-23,1237.1059
2015-09-30,1240.3916
2015-10-07,1241.7974
2015-10-14,1244.2233
2015-10-21,1246.0733
2015-10-28,1246.2383
2015-11-04,1248.4432
2015-11-11,1249.6252
2015-11-18,1252.4009
2015-11-25,1253.5285
2015-12-02,1253.7334
2015-12-09,1256.2903
2015-12-16,1257.7812
2015-12-23,1260.1861
2015-12-30,1262.7646
2016-01-06,1267.3729
2016-01-13,1268.0269
2016-01-20,1270.2466
2016-01-27,1269.7982
2016-02-03,1270.9251
2016-02-10,1272.4596
2016-02-17,1273.5199
2016-02-24,1274.0761
2016-03-02,1276.0627
2016-03-09,1281.3563
2016-03-16,1281.5454
2016-03-23,1284.9644
2016-03-30,1288.4186
2016-04-06,1288.6132
2016-04-13,1289.0938
2016-04-20,1292.1601
2016-04-27,1294.0218
2016-05-04,1295.9377
2016-05-11,1296.9366
2016-05-18,1298.5244
2016-05-25,1298.333
2016-06-01,1300.779
2016-06-08,1304.3252
2016-06-15,1306.5399
2016-06-22,1317.7274
2016-06-29,1320.5513
2016-07-06,1322.9301
2016-07-13,1323.6532
2016-07-20,1326.6626
2016-07-27,1327.6088
2016-08-03,1329.0578
2016-08-10,1332.07
2016-08-17,1332.6851
2016-08-24,1334.795
2016-08-31,1336.1433
2016-09-07,1335.5919
2016-09-14,1336.6897
2016-09-21,1338.1233
2016-09-28,1339.324
2016-10-05,1342.1407
2016-10-12,1343.1598
2016-10-19,1344.7592
2016-10-26,1344.9037
2016-11-02,1347.3381
2016-11-09,1348.6178
2016-11-16,1349.3274
2016-11-23,1351.3632
2016-11-30,1354.4842
2016-12-07,1353.7921
2016-12-14,1355.7305
2016-12-21,1355.7305
2016-12-28,1357.3087
2017-01-04,1360.8047
2017-01-11,1359.5541
2017-01-18,1361.8934
2017-01-25,1360.79
2017-02-01,1362.0116
2017-02-08,1363.7189
2017-02-15,1362.8386
2017-02-22,1364.203
2017-03-01,1365.0015
2017-03-08,1365.478
2017-03-15,1365.6453
2017-03-22,1366.3335
2017-03-29,1365.97
2017-04-05,1366.9204
2017-04-12,1368.5203
2017-04-19,1368.6153
2017-04-26,1368.1189
2017-05-03,1369.0534
2017-05-10,1369.3477
2017-05-17,1369.9643
2017-05-24,1371.6919
2017-05-31,1371.8112
2017-06-07,1370.0687
2017-06-14,1372.0097
2017-06-21,1373.1487
2017-06-28,1375.4946
2017-07-05,1378.1771
2017-07-12,1379.1064
2017-07-19,1379.9021
2017-07-26,1380.0297
2017-08-02,1381.2123
2017-08-09,1383.2918
2017-08-16,1383.5218
2017-08-23,1385.4325
2017-08-30,1386.9525
2017-09-06,1388.8591
2017-09-13,1392.9284
2017-09-20,1394.7544
2017-09-27,1395.5763
2017-10-04,1397.4061
2017-10-11,1398.1582
2017-10-18,1413.9846
2017-10-25,1414.0686
2017-11-01,1417.0945
2017-11-08,1421.5487
2017-11-15,1422.8582
2017-11-22,1424.7936
2017-11-29,1428.5268
2017-12-06,1426.9574
2017-12-13,1426.9331
2017-12-20,1427.6213
2017-12-27,1427.9797
2018-01-03,1430.5232
2018-01-10,1431.9991
2018-01-17,1433.8667
2018-01-24,1432.1217
2018-01-31,1434.6794
2018-02-07,1435.0404
2018-02-14,1435.5754
2018-02-21,1435.2654
2018-02-28,1436.5821
2018-03-07,1438.5887
2018-03-14,1437.4951
2018-03-21,1438.8455
2018-03-28,1440.3301
2018-04-04,1458.7095
2018-04-11,1458.8651
2018-04-18,1460.0177
2018-04-25,1460.7506
2018-05-02,1459.6041
2018-05-09,1460.8403
2018-05-16,1461.7635
2018-05-23,1462.9082
2018-05-30,1467.009
2018-06-06,1468.0847
2018-06-13,1470.0501
2018-06-20,1470.3953
2018-06-27,1471.7998
2018-07-04,1472.5624
2018-07-11,1470.8829
2018-07-18,1472.0184
2018-07-25,1473.0071
2018-08-01,1473.5169
2018-08-08,1475.9758
2018-08-15,1475.9261
2018-08-22,1477.9166
2018-08-29,1479.4142
2018-09-05,1481.621
2018-09-12,1481.356
2018-09-19,1482.9803
2018-09-26,1483.8645
2018-10-03,1486.2005
2018-10-10,1487.6754
2018-10-17,1488.2419
2018-10-24,1490.2647
2018-10-31,1494.8213
2018-11-07,1493.9275
2018-11-14,1496.9903
2018-11-21,1498.988
2018-11-28,1501.9342
2018-12-05,1498.4977
2018-12-12,1498.3053
2018-12-19,1496.9384
2018-12-26,1497.4456
2019-01-02,1499.4718
2019-01-09,1502.1317
2019-01-16,1501.5673
2019-01-23,1504.2398
2019-01-30,1507.7572
2019-02-06,1508.0814
2019-02-13,1508.7095
2019-02-20,1511.2142
2019-02-27,1514.1842
2019-03-06,1514.3034
2019-03-13,1516.2299
2019-03-20,1517.4138
2019-03-27,1519.3455
2019-04-03,1520.2601
2019-04-10,1521.9113
2019-04-17,1525.7718
2019-04-24,1528.4168
2019-05-01,1529.7126
2019-05-08,1532.6927
2019-05-15,1532.8504
2019-05-22,1534.6498
2019-05-29,1538.8216
2019-06-05,1540.6096
2019-06-12,1543.262
2019-06-19,1544.3074
2019-06-26,1546.3222
2019-07-03,1546.2181
2019-07-10,1548.5196
2019-07-17,1549.3828
2019-07-24,1552.2405
2019-07-31,1556.6113
2019-08-07,1558.2963
2019-08-14,1559.9051
2019-08-21,1562.0898
2019-08-28,1562.5907
2019-09-04,1565.8219
2019-09-11,1564.8265
2019-09-18,1566.4309
2019-09-25,1567.8745
2019-10-02,1568.649
2019-10-09,1570.033
2019-10-16,1579.2324
2019-10-23,1580.5781
2019-10-30,1584.6549
2019-11-06,1584.915
2019-11-13,1586.8571
2019-11-20,1586.6078
2019-11-27,1584.2989
2019-12-04,1587.5776
2019-12-11,1589.2633
2019-12-18,1587.4105
2019-12-25,1591.7227
2020-01-01,1591.4306
2020-01-08,1593.0497
2020-01-15,1592.6458
2020-01-22,1595.5168
2020-01-29,1596.3423
2020-02-05,1596.1813
2020-02-12,1596.987
2020-02-19,1599.5947
2020-02-26,1602.2137
2020-03-04,1609.8629
2020-03-11,1610.4178
2020-03-18,1609.4461
2020-03-25,1599.3719
2020-04-01,1587.3146
2020-04-08,1570.374
2020-04-15,1554.1222
2020-04-22,1538.2224
2020-04-29,1532.9583
2020-05-06,1525.218
2020-05-13,1521.6852
2020-05-20,1518.7124
2020-05-27,1515.6866
2020-06-03,1515.4086
2020-06-10,1516.8165
2020-06-17,1515.7085
2020-06-24,1517.8381
2020-07-01,1516.9368
2020-07-08,1519.4802
2020-07-15,1519.7534
2020-07-22,1519.9866
2020-07-29,1518.9459
2020-08-05,1517.8883
2020-08-12,1516.7913
2020-08-19,1516.7428
2020-08-26,1516.661
2020-09-02,1516.1311
2020-09-09,1517.0661
2020-09-16,1516.9509
2020-09-23,1517.1498
2020-09-30,1520.1466
2020-10-07,1517.6262
2020-10-14,1519.804
2020-10-21,1521.016
2020-10-28,1521.0722
2020-11-04,1521.7596
2020-11-11,1523.3839
2020-11-18,1521.5186
2020-11-25,1523.8148
2020-12-02,1522.1647
2020-12-09,1523.3369
2020-12-16,1524.3304
2020-12-23,1525.1249
2020-12-30,1521.6804
2021-01-06,1522.0914
2021-01-13,1518.0241
2021-01-20,1520.6692
2021-01-27,1518.3505
2021-02-03,1518.1075
2021-02-10,1520.1353
2021-02-17,1520.4316
2021-02-24,1523.1005
2021-03-03,1528.6826
