DATE,DPSACBW027SBOG
2015-04-22,10657.2345
2015-04-29,10660.9283
2015-05-06,10657.3421
2015-05-13,10726.3578
2015-05-20,10692.2179
2015-05-27,10735.0381
2015-06-03,10712.2807
2015-06-10,10715.7823
2015-06-17,10742.0644
2015-06-24,10784.4231
2015-07-01,10778.479
2015-07-08,10763.2933
2015-07-15,10792.1716
2015-07-22,10812.6707
2015-07-29,10761.2968
2015-08-05,10799.2066
2015-08-12,10811.4954
2015-08-19,10838.623
2015-08-26,10881.8297
2015-09-02,10859.4469
2015-09-09,10873.2805
2015-09-16,10853.5284
2015-09-23,10858.5463
2015-09-30,10871.1848
2015-10-07,10878.3163
2015-10-14,10892.3434
2015-10-21,10928.523
2015-10-28,10951.8536
2015-11-04,10971.2867
2015-11-11,10966.2655
2015-11-18,10942.2201
2015-11-25,10974.9708
2015-12-02,10933.7629
2015-12-09,10948.0665
2015-12-16,10925.0294
2015-12-23,10946.8347
2015-12-30,10870.2474
2016-01-06,10947.5233
2016-01-13,10950.1095
2016-01-20,10958.5863
2016-01-27,10968.2534
2016-02-03,10981.6929
2016-02-10,10995.6957
2016-02-17,11026.5892
2016-02-24,11030.7229
2016-03-02,11063.872
2016-03-09,11085.7234
2016-03-16,11079.7405
2016-03-23,11119.9571
2016-03-30,11078.0215
2016-04-06,11132.1883
2016-04-13,11159.0766
2016-04-20,11170.1594
2016-04-27,11151.1989
2016-05-04,11187.7931
2016-05-11,11182.7181
2016-05-18,11173.3625
2016-05-25,11203.1266
2016-06-01,11229.748
2016-06-08,11270.66
2016-06-15,11290.6615
2016-06-22,11270.2995
2016-06-29,11248.4031
2016-07-06,11280.397
2016-07-13,11278.1505
2016-07-20,11272.3009
2016-07-27,11280.4372
2016-08-03,11349.0108
2016-08-10,11346.4106
2016-08-17,11391.5278
2016-08-24,11381.7462
2016-08-31,11373.0871
2016-09-07,11384.1259
2016-09-14,11419.4566
2016-09-21,11352.6525
2016-09-28,11346.2397
2016-10-05,11365.0239
2016-10-12,11363.3423
2016-10-19,11360.8806
2016-10-26,11395.9442
2016-11-02,11387.0184
2016-11-09,11414.8905
2016-11-16,11438.6129
2016-11-23,11425.3824
2016-11-30,11430.9641
2016-12-07,11436.6843
2016-12-14,11475.0718
2016-12-21,11458.5514
2016-12-28,11484.293
2017-01-04,11533.1677
2017-01-11,11503.6473
2017-01-18,11538.7887
2017-01-25,11518.7097
2017-02-01,11577.9884
2017-02-08,11544.1931
2017-02-15,11578.9729
2017-02-22,11563.7596
2017-03-01,11617.968
2017-03-08,11601.4147
2017-03-15,11672.7672
2017-03-22,11646.5621
2017-03-29,11608.3653
2017-04-05,11663.5397
2017-04-12,11680.4348
2017-04-19,11679.4114
2017-04-26,11681.9164
2017-05-03,11678.9048
2017-05-10,11706.6905
2017-05-17,11727.8459
2017-05-24,11756.8538
2017-05-31,11753.1169
2017-06-07,11743.901
2017-06-14,11730.5131
2017-06-21,11733.3756
2017-06-28,11716.4851
2017-07-05,11774.8982
2017-07-12,11763.9787
2017-07-19,11782.4687
2017-07-26,11819.577
2017-08-02,11817.7748
2017-08-09,11817.8537
2017-08-16,11845.7287
2017-08-23,11850.437
2017-08-30,11835.1838
2017-09-06,11869.8139
2017-09-13,11881.3644
2017-09-20,11891.8353
2017-09-27,11890.9505
2017-10-04,11949.8636
2017-10-11,11952.9705
2017-10-18,11909.2288
2017-10-25,11959.2873
2017-11-01,11999.2489
2017-11-08,11968.5674
2017-11-15,11978.7355
2017-11-22,11975.2037
2017-11-29,11942.6679
2017-12-06,11989.8465
2017-12-13,11988.0167
2017-12-20,11982.0374
2017-12-27,11979.8916
2018-01-03,11992.7468
2018-01-10,11982.0425
2018-01-17,12011.2665
2018-01-24,12009.151
2018-01-31,12042.7485
2018-02-07,11983.6244
2018-02-14,11987.8406
2018-02-21,11987.4604
2018-02-28,12064.08
2018-03-07,12023.2509
2018-03-14,12060.1649
2018-03-21,11988.7949
2018-03-28,12036.1034
2018-04-04,12087.0308
2018-04-11,12120.6101
2018-04-18,12093.8763
2018-04-25,12122.6048
2018-05-02,12090.6253
2018-05-09,12111.3529
2018-05-16,12098.3678
2018-05-23,12154.719
2018-05-30,12172.0538
2018-06-06,12174.6173
2018-06-13,12174.1326
2018-06-20,12184.877
2018-06-27,12193.848
2018-07-04,12222.1061
2018-07-11,12197.4051
2018-07-18,12186.8381
2018-07-25,12242.4631
2018-08-01,12240.9318
2018-08-08,12219.711
