DATE,TLAACBW027SBOG
2015-04-29,15395.6653
2015-05-06,15382.0961
2015-05-13,15377.4766
2015-05-20,15346.2677
2015-05-27,15337.5323
2015-06-03,15324.1446
2015-06-10,15319.3451
2015-06-17,15371.5708
2015-06-24,15333.3777
2015-07-01,15306.6734
2015-07-08,15321.1952
2015-07-15,15389.267
2015-07-22,15418.7394
2015-07-29,15368.0917
2015-08-05,15372.0472
2015-08-12,15355.8974
2015-08-19,15446.8747
2015-08-26,15502.2134
2015-09-02,15454.7549
2015-09-09,15454.8529
2015-09-16,15416.2827
2015-09-23,15514.7319
2015-09-30,15243.7957
2015-10-07,15575.2446
2015-10-14,15630.1578
2015-10-21,15651.0818
2015-10-28,15608.7969
2015-11-04,15641.3299
2015-11-11,15590.4029
2015-11-18,15568.4889
2015-11-25,15547.0045
2015-12-02,15600.1325
2015-12-09,15582.4447
2015-12-16,15587.2382
2015-12-23,15619.164
2015-12-30,15506.1907
2016-01-06,15627.1429
2016-01-13,15634.3158
2016-01-20,15680.5211
2016-01-27,15630.2402
2016-02-03,15706.142
2016-02-10,15709.9102
2016-02-17,15710.1205
2016-02-24,15711.6038
2016-03-02,15732.6687
2016-03-09,15781.6317
2016-03-16,15739.9826
2016-03-23,15734.3725
2016-03-30,15688.0649
2016-04-06,15804.7839
2016-04-13,15856.6338
2016-04-20,15848.5431
2016-04-27,15870.4393
2016-05-04,15917.7229
2016-05-11,15908.3052
2016-05-18,15896.4715
2016-05-25,15900.9516
2016-06-01,15923.381
2016-06-08,15942.9034
2016-06-15,15967.2333
2016-06-22,15968.9262
2016-06-29,15943.7873
2016-07-06,16047.3902
2016-07-13,16020.6786
2016-07-20,15998.7831
2016-07-27,16029.6796
2016-08-03,16071.2137
2016-08-10,16051.3591
2016-08-17,16066.5632
2016-08-24,16038.2963
2016-08-31,16038.1138
2016-09-07,16090.0293
2016-09-14,16152.4561
2016-09-21,16043.3079
2016-09-28,16026.118
2016-10-05,15992.4278
2016-10-12,16045.2662
2016-10-19,16035.8155
2016-10-26,16019.7089
2016-11-02,16039.4875
2016-11-09,16019.9349
2016-11-16,16033.0952
2016-11-23,15997.8451
2016-11-30,15988.4118
2016-12-07,16039.5157
2016-12-14,16075.6102
2016-12-21,15978.974
2016-12-28,16001.826
2017-01-04,16073.5504
2017-01-11,16016.8273
2017-01-18,16072.8747
2017-01-25,16050.3618
2017-02-01,16103.8945
2017-02-08,16111.6886
2017-02-15,16116.7926
2017-02-22,16146.8839
2017-03-01,16207.7436
2017-03-08,16210.6971
2017-03-15,16257.682
2017-03-22,16191.1118
2017-03-29,16126.1289
2017-04-05,16216.5035
2017-04-12,16223.8371
2017-04-19,16241.5436
2017-04-26,16234.0354
2017-05-03,16213.4247
2017-05-10,16189.9363
2017-05-17,16255.8428
2017-05-24,16272.3983
2017-05-31,16225.3169
2017-06-07,16258.1834
2017-06-14,16222.9466
2017-06-21,16249.5166
2017-06-28,16222.3752
2017-07-05,16254.4351
2017-07-12,16308.833
2017-07-19,16352.499
2017-07-26,16419.3392
2017-08-02,16424.997
2017-08-09,16425.4302
