DATE,HBUSAPPWNSAUS
2017-04-15,26800
2017-04-22,25950
2017-04-29,27430
2017-05-06,26930
2017-05-13,26930
2017-05-20,26360
2017-05-27,26580
2017-06-03,20560
2017-06-10,27060
2017-06-17,24620
2017-06-24,24950
2017-07-01,26150
2017-07-08,18820
2017-07-15,24410
2017-07-22,24400
2017-07-29,24590
2017-08-05,23670
2017-08-12,23830
2017-08-19,25110
2017-08-26,23290
2017-09-02,23700
2017-09-09,18480
2017-09-16,22080
2017-09-23,23970
2017-09-30,23700
2017-10-07,21650
2017-10-14,21340
2017-10-21,23840
2017-10-28,24630
2017-11-04,23870
2017-11-11,23950
2017-11-18,22300
2017-11-25,17510
2017-12-02,21130
2017-12-09,24570
2017-12-16,24280
2017-12-23,24180
2017-12-30,4790
2018-01-06,33080
2018-01-13,32420
2018-01-20,26920
2018-01-27,31640
2018-02-03,31750
2018-02-10,30170
2018-02-17,28710
2018-02-24,27370
2018-03-03,30230
2018-03-10,29820
2018-03-17,30960
2018-03-24,29990
2018-03-31,29650
2018-04-07,27630
2018-04-14,27670
2018-04-21,26860
2018-04-28,29220
2018-05-05,29330
2018-05-12,28360
2018-05-19,29040
2018-05-26,27650
2018-06-02,22460
2018-06-09,26860
2018-06-16,26690
2018-06-23,26600
2018-06-30,26920
2018-07-07,20310
2018-07-14,24880
2018-07-21,23610
2018-07-28,25510
2018-08-04,26220
2018-08-11,24910
2018-08-18,25180
2018-08-25,24420
2018-09-01,23100
2018-09-08,20940
2018-09-15,24710
2018-09-22,25100
2018-09-29,25650
2018-10-06,24790
2018-10-13,21980
2018-10-20,23660
2018-10-27,25120
2018-11-03,23440
2018-11-10,21770
2018-11-17,21770
2018-11-24,18930
2018-12-01,21620
2018-12-08,21910
2018-12-15,24330
2018-12-22,25050
2018-12-29,11630
2019-01-05,19810
2019-01-12,32020
2019-01-19,28560
2019-01-26,26720
2019-02-02,30190
2019-02-09,29530
2019-02-16,30980
2019-02-23,27260
2019-03-02,30010
2019-03-09,27400
2019-03-16,29330
2019-03-23,31630
2019-03-30,31730
2019-04-06,31570
2019-04-13,28630
2019-04-20,26820
2019-04-27,27130
2019-05-04,29090
2019-05-11,27890
2019-05-18,27850
2019-05-25,27180
2019-06-01,21730
2019-06-08,27230
2019-06-15,25670
2019-06-22,26070
2019-06-29,26170
2019-07-06,19380
2019-07-13,23650
2019-07-20,24640
2019-07-27,24040
2019-08-03,24420
2019-08-10,24710
2019-08-17,25070
2019-08-24,25510
2019-08-31,24080
2019-09-07,19830
2019-09-14,24380
2019-09-21,25930
2019-09-28,25370
2019-10-05,24330
2019-10-12,23870
2019-10-19,21660
2019-10-26,25410
2019-11-02,24540
2019-11-09,23770
2019-11-16,21410
2019-11-23,23990
2019-11-30,17850
2019-12-07,20520
2019-12-14,24210
2019-12-21,25160
2019-12-28,16210
2020-01-04,12390
2020-01-11,35290
2020-01-18,30110
2020-01-25,28220
2020-02-01,31820
2020-02-08,31350
2020-02-15,30450
2020-02-22,28150
2020-02-29,30650
2020-03-07,31140
2020-03-14,29330
2020-03-21,24040
2020-03-28,19790
2020-04-04,19600
2020-04-11,20220
2020-04-18,19270
2020-04-25,21430
2020-05-02,23370
2020-05-09,24360
2020-05-16,25210
2020-05-23,26190
2020-05-30,22820
2020-06-06,26160
2020-06-13,29270
2020-06-20,30860
2020-06-27,36390
2020-07-04,39840
2020-07-11,39240
2020-07-18,42350
2020-07-25,40430
2020-08-01,40560
2020-08-08,39810
2020-08-15,39400
2020-08-22,35900
2020-08-29,35410
2020-09-05,35190
2020-09-12,27780
2020-09-19,34110
2020-09-26,33350
2020-10-03,31890
2020-10-10,30380
2020-10-17,27940
2020-10-24,31980
2020-10-31,30740
2020-11-07,28460
2020-11-14,27390
2020-11-21,29280
2020-11-28,22410
2020-12-05,26620
2020-12-12,29930
2020-12-19,29900
2020-12-26,.
2021-01-02,21210
2021-01-09,40050
2021-01-16,48810
2021-01-23,41220
2021-01-30,43060
2021-02-06,41130
2021-02-13,40410
2021-02-20,34340
2021-02-27,39380
2021-03-06,40970
