DATE,WEI
2015-01-24,2.58
2015-01-31,2.59
2015-02-07,2.5
2015-02-14,2.94
2015-02-21,2.52
2015-02-28,2.13
2015-03-07,2.08
2015-03-14,2.23
2015-03-21,2.21
2015-03-28,2.42
2015-04-04,2.28
2015-04-11,1.92
2015-04-18,2.21
2015-04-25,2.3
2015-05-02,2.17
2015-05-09,2.04
2015-05-16,2.12
2015-05-23,1.85
2015-05-30,1.63
2015-06-06,2.06
2015-06-13,1.98
2015-06-20,1.99
2015-06-27,1.86
2015-07-04,1.81
2015-07-11,1.65
2015-07-18,2.03
2015-07-25,1.73
2015-08-01,1.81
2015-08-08,1.88
2015-08-15,2.12
2015-08-22,1.75
2015-08-29,1.45
2015-09-05,2.01
2015-09-12,1.49
2015-09-19,1.81
2015-09-26,1.6
2015-10-03,1.85
2015-10-10,1.47
2015-10-17,1.75
2015-10-24,1.61
2015-10-31,1.47
2015-11-07,1.34
2015-11-14,1.2
2015-11-21,0.94
2015-11-28,1.37
2015-12-05,1.34
2015-12-12,0.73
2015-12-19,0.87
2015-12-26,1.07
2016-01-02,0.85
2016-01-09,0.67
2016-01-16,0.75
2016-01-23,0.8
2016-01-30,0.94
2016-02-06,1.23
2016-02-13,1.24
2016-02-20,1.48
2016-02-27,1.32
2016-03-05,1.48
2016-03-12,1.07
2016-03-19,1.02
2016-03-26,0.82
2016-04-02,0.99
2016-04-09,1.44
2016-04-16,1.3
2016-04-23,1.13
2016-04-30,1.32
2016-05-07,1.05
2016-05-14,1.39
2016-05-21,1.24
2016-05-28,2.03
2016-06-04,1.23
2016-06-11,1.39
2016-06-18,1.52
2016-06-25,1.52
2016-07-02,2.11
2016-07-09,1.17
2016-07-16,1.35
2016-07-23,1.64
2016-07-30,1.55
2016-08-06,1.69
2016-08-13,1.39
2016-08-20,1.52
2016-08-27,1.6
2016-09-03,1.55
2016-09-10,1.42
2016-09-17,1.45
2016-09-24,1.42
2016-10-01,1.75
2016-10-08,1.7
2016-10-15,1.46
2016-10-22,1.49
2016-10-29,1.72
2016-11-05,1.93
2016-11-12,1.87
2016-11-19,2.09
2016-11-26,2.0
2016-12-03,1.84
2016-12-10,1.92
2016-12-17,2.14
2016-12-24,2.9
