DATE,DNFINCP
2015-04-29,221.488950995
2015-05-06,219.561319562
2015-05-13,201.967778583
2015-05-20,208.535378972
2015-05-27,183.811335564
2015-06-03,196.271325564
2015-06-10,194.42463056
2015-06-17,195.941250663
2015-06-24,184.440132718
2015-07-01,168.108513944
2015-07-08,203.917151527
2015-07-15,203.071591909
2015-07-22,210.527065022
2015-07-29,212.247603936
2015-08-05,228.192924017
2015-08-12,221.951001494
2015-08-19,227.829830728
2015-08-26,220.916255666
2015-09-02,220.397382779
2015-09-09,222.017856413
2015-09-16,223.808936782
2015-09-23,207.528306835
2015-09-30,166.126376119
2015-10-07,217.799936117
2015-10-14,216.569457728
2015-10-21,221.711735222
2015-10-28,215.035631045
2015-11-04,228.668010808
2015-11-11,229.698174983
2015-11-18,241.678274194
2015-11-25,235.22638124
2015-12-02,234.143839144
2015-12-09,232.346749667
2015-12-16,234.521620045
2015-12-23,216.946147174
2015-12-30,220.024037531
2016-01-06,228.720255338
2016-01-13,218.944746079
2016-01-20,223.461077235
2016-01-27,228.412234375
2016-02-03,229.43503125
2016-02-10,233.93921875
2016-02-17,242.155234375
2016-02-24,237.559765625
2016-03-02,231.817203125
2016-03-09,225.420796875
2016-03-16,226.649171875
2016-03-23,222.43140625
2016-03-30,217.142125
2016-04-06,216.600328125
2016-04-13,211.718625
2016-04-20,215.765046875
2016-04-27,221.303234375
2016-05-04,227.967796875
2016-05-11,232.79375
2016-05-18,233.992687019
2016-05-25,240.919248596
2016-06-01,235.972794778
2016-06-08,234.658646638
2016-06-15,232.505068341
2016-06-22,233.860046446
2016-06-29,224.032309221
2016-07-06,220.813845994
2016-07-13,219.353714134
2016-07-20,225.233872211
2016-07-27,220.425370613
2016-08-03,216.39444712
2016-08-10,213.842356071
2016-08-17,208.644115531
2016-08-24,202.129952967
2016-08-31,190.984795985
2016-09-07,194.59928109
2016-09-14,183.114933919
2016-09-21,178.058547407
2016-09-28,179.56999211
2016-10-05,185.735946505
2016-10-12,186.278516678
2016-10-19,190.872780646
2016-10-26,194.592341219
2016-11-02,197.624006808
2016-11-09,194.87841041
2016-11-16,203.589052023
2016-11-23,213.462390494
2016-11-30,202.703590976
2016-12-07,209.16232139
2016-12-14,209.314887396
2016-12-21,217.900951699
2016-12-28,229.661261257
2017-01-04,206.320734682
2017-01-11,221.426738819
2017-01-18,217.838327466
2017-01-25,215.662486526
2017-02-01,211.513111117
2017-02-08,209.774884902
2017-02-15,209.080553411
2017-02-22,213.339991034
2017-03-01,215.163307527
2017-03-08,220.408376877
2017-03-15,225.687386956
2017-03-22,228.206417088
2017-03-29,235.15396875
2017-04-05,236.163015625
2017-04-12,237.362515625
2017-04-19,236.2234375
2017-04-26,238.9829375
2017-05-03,242.309375
2017-05-10,238.197015625
2017-05-17,235.926046875
2017-05-24,236.807359375
2017-05-31,230.97571875
2017-06-07,227.900890625
2017-06-14,221.89128125
2017-06-21,235.43821875
2017-06-28,238.62421875
2017-07-05,233.878984375
2017-07-12,240.745567048
2017-07-19,244.931041468
2017-07-26,248.52846926
2017-08-02,240.039730628
2017-08-09,246.031525549
2017-08-16,239.987896943
2017-08-23,240.785482919
2017-08-30,242.666091869
2017-09-06,240.156069938
2017-09-13,236.755636749
2017-09-20,248.640796875
2017-09-27,251.794109375
2017-10-04,250.7411875
2017-10-11,243.134046875
2017-10-18,245.990859375
2017-10-25,251.098265625
2017-11-01,238.503953125
2017-11-08,237.131921875
2017-11-15,222.76925
2017-11-22,217.291608102
2017-11-29,216.881623794
2017-12-06,218.764926811
2017-12-13,215.892112615
2017-12-20,240.598498823
2017-12-27,241.679564421
2018-01-03,241.319678837
2018-01-10,248.391398575
2018-01-17,251.425991422
2018-01-24,249.561099112
2018-01-31,244.523237213
2018-02-07,244.659898433
2018-02-14,236.517185335
2018-02-21,238.181391264
2018-02-28,241.000973604
2018-03-07,250.408734375
2018-03-14,270.100363808
2018-03-21,275.581984571
2018-03-28,275.025146908
2018-04-04,268.275821294
2018-04-11,266.224281213
2018-04-18,260.78299809
2018-04-25,256.988302952
2018-05-02,250.252596701
2018-05-09,248.670337159
2018-05-16,244.311931795
2018-05-23,246.702803768
2018-05-30,252.533503202
2018-06-06,260.037267833
2018-06-13,266.264142825
2018-06-20,269.962822525
2018-06-27,275.13679335
2018-07-04,276.968595959
2018-07-11,270.268757165
2018-07-18,264.308653274
2018-07-25,267.726501565
2018-08-01,260.133983905
2018-08-08,266.330116258
2018-08-15,266.364633452
2018-08-22,274.135047592
2018-08-29,277.077593515
2018-09-05,274.018639188
2018-09-12,266.718588581
2018-09-19,260.958473517
2018-09-26,260.704356037
2018-10-03,259.412788256
2018-10-10,253.291879949
2018-10-17,240.031579985
2018-10-24,237.504760221
2018-10-31,228.350460527
2018-11-07,232.849851245
2018-11-14,229.088742984
2018-11-21,233.985199985
2018-11-28,239.866971978
2018-12-05,237.009355498
2018-12-12,227.965555673
2018-12-19,217.855871104
2018-12-26,208.867701664
2019-01-02,220.033162629
2019-01-09,218.109441931
2019-01-16,212.518861306
2019-01-23,217.147365526
2019-01-30,224.178489612
2019-02-06,227.006887663
2019-02-13,233.784451504
2019-02-20,242.177353436
2019-02-27,245.548150271
2019-03-06,252.018995333
2019-03-13,239.874547637
2019-03-20,252.547895496
2019-03-27,254.183612943
2019-04-03,255.071848016
2019-04-10,247.677990602
2019-04-17,247.893821713
2019-04-24,230.012143322
2019-05-01,232.267511136
2019-05-08,231.5913125
2019-05-15,238.146953125
2019-05-22,239.451765625
2019-05-29,237.10434375
2019-06-05,238.131265625
2019-06-12,236.98746875
2019-06-19,234.2133125
2019-06-26,236.717078125
2019-07-03,263.19475
2019-07-10,260.57984375
2019-07-17,256.5508125
2019-07-24,262.75715625
2019-07-31,261.51684375
2019-08-07,264.16965625
2019-08-14,255.27278125
2019-08-21,252.431984375
2019-08-28,247.52103125
2019-09-04,245.565984375
2019-09-11,245.012625
2019-09-18,243.471546875
2019-09-25,243.57540625
2019-10-02,243.971157702
2019-10-09,253.007683562
2019-10-16,253.793232342
2019-10-23,254.67145646
2019-10-30,259.552802154
2019-11-06,260.160390404
2019-11-13,261.413161727
2019-11-20,253.926325497
2019-11-27,263.354265604
2019-12-04,258.911516039
2019-12-11,256.156069908
2019-12-18,243.700521493
2019-12-25,238.154655249
2020-01-01,238.478768121
2020-01-08,237.642506067
2020-01-15,234.76284717
2020-01-22,232.805438554
2020-01-29,236.246840344
2020-02-05,232.879951319
2020-02-12,235.863417879
2020-02-19,238.859203689
2020-02-26,241.719900227
2020-03-04,238.438705872
2020-03-11,239.054969717
2020-03-18,229.697772735
2020-03-25,227.695058425
2020-04-01,227.77814719
2020-04-08,226.655382464
2020-04-15,202.899984437
2020-04-22,210.363015206
2020-04-29,205.445307005
2020-05-06,196.68141069
2020-05-13,193.506172868
2020-05-20,185.848050561
2020-05-27,186.156920816
2020-06-03,179.097017035
2020-06-10,182.830276763
2020-06-17,165.625952253
2020-06-24,161.359203125
2020-07-01,152.429609375
2020-07-08,144.2401875
2020-07-15,148.029828125
2020-07-22,138.76409375
2020-07-29,132.859578125
2020-08-05,135.6873125
2020-08-12,125.004304688
2020-08-19,127.032296875
2020-08-26,128.901976563
2020-09-02,128.529242188
2020-09-09,127.078671875
2020-09-16,137.852953125
2020-09-23,124.254078125
2020-09-30,123.468492188
2020-10-07,134.536671875
2020-10-14,135.259375
2020-10-21,139.9388125
2020-10-28,143.37565625
2020-11-04,154.987578125
2020-11-11,149.550484375
2020-11-18,163.23671875
2020-11-25,151.95196875
2020-12-02,152.1691875
2020-12-09,148.819734375
2020-12-16,160.60778125
2020-12-23,160.346359375
2020-12-30,159.25059375
2021-01-06,177.12153125
2021-01-13,166.68734375
2021-01-20,167.902171875
2021-01-27,164.190609375
2021-02-03,164.042375
2021-02-10,160.24521875
2021-02-17,162.139625
2021-02-24,154.871265625
2021-03-03,156.2314375
2021-03-10,151.146171875
